                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1865,                0.61573,                 1.1304,                0.98396,                0.96134,                0.98903,                0.71111,                 1.0361,                0.45843,                 1.0318,               0.070023,              0.0033308,              0.0033308
                      1,                 1.2204,                0.61599,                 1.1398,                0.96871,                0.97806,                0.98489,                0.69688,                 1.1038,                0.48576,                 1.0609,               0.039891,              0.0065322,              0.0065322
                      2,                  1.251,                0.66087,                 1.1571,                 0.9716,                0.96509,                0.98221,                0.64536,                 1.1871,                0.54699,                 1.1038,              0.0096271,              0.0096015,              0.0096015
                      3,                 1.3386,                 0.7155,                 1.2112,                0.96158,                0.94147,                0.97886,                0.62699,                 1.2998,                0.60587,                 1.1658,               0.009406,               0.009406,               0.009406
                      4,                 1.3689,                0.75689,                 1.2231,                0.96092,                0.94671,                0.97542,                0.63717,                 1.2498,                0.57812,                 1.1589,               0.009406,               0.009406,               0.009406
                      5,                 1.3452,                0.74262,                 1.2119,                0.95675,                0.92476,                0.97375,                0.63579,                 1.2397,                0.58376,                 1.1394,               0.009208,               0.009208,               0.009208
                      6,                 1.3623,                0.76073,                 1.2219,                0.96443,                0.92476,                0.97026,                0.61289,                 1.2678,                0.62607,                 1.1786,                0.00901,                0.00901,                0.00901
                      7,                 1.3285,                0.72405,                 1.2043,                0.96594,                 0.9373,                  0.974,                0.61864,                 1.2898,                0.60064,                 1.1869,               0.008812,               0.008812,               0.008812
                      8,                 1.3426,                0.72124,                  1.209,                0.95256,                0.94415,                0.98043,                0.62286,                 1.3225,                0.58961,                 1.1788,               0.008614,               0.008614,               0.008614
                      9,                 1.3425,                0.74376,                 1.2151,                0.94374,                0.94651,                0.97216,                0.63879,                 1.2493,                0.56426,                 1.1494,               0.008416,               0.008416,               0.008416
                     10,                 1.3159,                0.70987,                 1.1968,                 0.9511,                0.93103,                0.97586,                0.63103,                 1.2885,                0.58663,                 1.1758,               0.008218,               0.008218,               0.008218
                     11,                 1.3208,                0.70736,                 1.1991,                0.95503,                0.92476,                 0.9698,                0.64301,                 1.2402,                0.57483,                 1.1427,                0.00802,                0.00802,                0.00802
                     12,                 1.3347,                 0.7279,                 1.1977,                0.96102,                0.92744,                0.97433,                0.63196,                 1.2446,                0.57278,                  1.146,               0.007822,               0.007822,               0.007822
                     13,                 1.3114,                0.69989,                 1.2005,                0.94585,                 0.9279,                0.97363,                0.62862,                  1.299,                0.60549,                 1.1897,               0.007624,               0.007624,               0.007624
                     14,                 1.2838,                0.69849,                 1.1838,                0.96276,                0.93103,                0.96522,                0.63058,                 1.2727,                0.57889,                  1.182,               0.007426,               0.007426,               0.007426
                     15,                  1.287,                0.67979,                 1.1876,                0.94575,                0.92909,                0.96599,                0.64623,                 1.2676,                0.57679,                 1.1546,               0.007228,               0.007228,               0.007228
                     16,                 1.2795,                0.67189,                 1.1738,                0.95832,                0.93698,                0.96993,                0.64093,                 1.2497,                0.56942,                  1.152,                0.00703,                0.00703,                0.00703
                     17,                 1.2857,                0.68261,                 1.1753,                0.95998,                0.93417,                0.97097,                0.61869,                 1.3094,                0.59505,                 1.1747,               0.006832,               0.006832,               0.006832
                     18,                 1.2682,                0.65511,                 1.1622,                0.95549,                 0.9185,                0.97007,                0.63507,                 1.2818,                0.57963,                 1.1499,               0.006634,               0.006634,               0.006634
                     19,                 1.2599,                0.64977,                 1.1595,                0.95871,                0.94622,                0.96854,                0.63963,                  1.302,                0.57203,                 1.1738,               0.006436,               0.006436,               0.006436
                     20,                  1.226,                0.64016,                 1.1425,                0.95227,                0.93417,                0.97863,                0.64844,                 1.2417,                0.58267,                 1.1359,               0.006238,               0.006238,               0.006238
                     21,                 1.2697,                 0.6617,                 1.1667,                 0.9443,                0.89969,                0.95396,                 0.6218,                 1.2945,                0.56936,                 1.1754,                0.00604,                0.00604,                0.00604
                     22,                 1.2315,                0.63272,                 1.1495,                0.97394,                0.93712,                0.97466,                 0.6324,                 1.2725,                0.56287,                 1.1529,               0.005842,               0.005842,               0.005842
