                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7702,                 2.6906,                 1.6429,                0.62598,                0.55056,                0.60814,                0.28618,                 0.9576,                 1.0363,                 0.9899,               0.070012,               0.003332,               0.003332
                      1,                 1.7128,                 1.8532,                 1.5034,                0.71762,                0.63764,                0.67069,                0.31982,                0.92387,                0.96476,                0.79953,               0.039946,              0.0065994,              0.0065994
                      2,                 1.8077,                 1.9806,                 1.4869,                0.65591,                0.49263,                0.56968,                0.27326,                0.95477,                 1.2725,                0.82865,              0.0098137,              0.0098007,              0.0098007
                      3,                 1.8084,                 1.9041,                 1.5338,                0.64263,                0.57022,                0.59594,                0.25824,                0.96168,                 1.1879,                0.85002,               0.009703,               0.009703,               0.009703
                      4,                 1.7833,                 1.7439,                 1.4991,                0.70013,                0.64273,                0.68049,                0.31927,                0.91643,                 1.0919,                0.83737,               0.009703,               0.009703,               0.009703
                      5,                 1.7301,                 1.6069,                  1.481,                0.74466,                0.66356,                 0.7405,                0.34706,                 0.8798,                 1.0757,                0.85158,               0.009604,               0.009604,               0.009604
                      6,                 1.6969,                 1.5043,                 1.4608,                0.80615,                0.76685,                 0.8199,                  0.411,                0.86422,                 1.1963,                0.79002,               0.009505,               0.009505,               0.009505
                      7,                 1.6462,                 1.4134,                 1.4281,                0.86508,                0.72753,                0.80968,                0.41345,                0.89647,                0.84234,                0.82058,               0.009406,               0.009406,               0.009406
                      8,                   1.64,                  1.395,                 1.4052,                0.73677,                0.73596,                0.78074,                0.40395,                0.85147,                 1.1777,                0.76809,               0.009307,               0.009307,               0.009307
                      9,                 1.6087,                 1.3005,                 1.3875,                0.86127,                 0.7673,                0.84787,                0.44904,                0.83876,                 1.1806,                0.76623,               0.009208,               0.009208,               0.009208
                     10,                 1.5815,                 1.2573,                 1.3796,                0.84908,                   0.75,                0.81845,                0.44564,                0.84751,                0.90825,                  0.773,               0.009109,               0.009109,               0.009109
                     11,                 1.6018,                 1.2682,                 1.3759,                0.86206,                0.82507,                0.88839,                0.48053,                0.83471,                0.96942,                0.76592,                0.00901,                0.00901,                0.00901
                     12,                 1.5501,                 1.2013,                 1.3383,                 0.8751,                0.78933,                0.86901,                 0.4626,                0.82762,                 1.0274,                0.77214,               0.008911,               0.008911,               0.008911
                     13,                 1.5296,                 1.1578,                 1.3414,                0.88316,                0.78371,                0.87506,                0.47386,                0.81327,                0.87946,                0.75311,               0.008812,               0.008812,               0.008812
                     14,                 1.5067,                 1.1289,                 1.3258,                0.86435,                0.76966,                0.86191,                0.48517,                0.81671,                 1.0113,                 0.7496,               0.008713,               0.008713,               0.008713
                     15,                 1.5341,                 1.1207,                 1.3377,                 0.8501,                0.81742,                0.88777,                 0.4955,                0.81587,                 1.0735,                 0.7556,               0.008614,               0.008614,               0.008614
                     16,                 1.5266,                 1.1118,                 1.3244,                0.88035,                0.82584,                0.90238,                0.50236,                0.79776,                0.83087,                0.71412,               0.008515,               0.008515,               0.008515
                     17,                 1.5051,                 1.0897,                 1.3019,                0.91601,                0.82721,                  0.907,                0.50416,                0.78353,                 0.9057,                0.73015,               0.008416,               0.008416,               0.008416
                     18,                 1.5078,                 1.0773,                 1.3142,                0.87006,                0.78995,                 0.8907,                0.49647,                0.78512,                 0.8607,                0.72205,               0.008317,               0.008317,               0.008317
                     19,                 1.4807,                 1.0407,                 1.2859,                0.87465,                0.86243,                0.91485,                0.50806,                0.79774,                 1.1513,                0.71243,               0.008218,               0.008218,               0.008218
