                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3366,                0.86334,                 1.1473,                0.90724,                0.87547,                0.92486,                0.62726,                 1.2533,                0.70591,                 1.1044,               0.070023,              0.0033307,              0.0033307
                      1,                 1.3122,                0.81594,                 1.1357,                0.89665,                0.85688,                0.93119,                 0.6302,                 1.2562,                0.71443,                 1.1041,               0.039892,              0.0065321,              0.0065321
                      2,                 1.3477,                0.84416,                 1.1396,                0.89253,                0.82025,                0.90817,                0.59497,                 1.3347,                0.76944,                 1.1515,              0.0096276,              0.0096015,              0.0096015
                      3,                 1.3889,                0.90633,                 1.1736,                0.88759,                0.82857,                  0.909,                0.58813,                 1.3802,                0.80925,                 1.1454,               0.009406,               0.009406,               0.009406
                      4,                 1.4164,                0.92635,                 1.1843,                0.86782,                0.83084,                0.90823,                0.58104,                   1.41,                0.86916,                 1.1748,               0.009406,               0.009406,               0.009406
                      5,                 1.3844,                  0.897,                 1.1645,                0.90511,                0.82716,                0.91794,                0.59355,                 1.3579,                0.76845,                  1.144,               0.009208,               0.009208,               0.009208
                      6,                 1.4218,                0.91485,                 1.1811,                0.91088,                0.80864,                 0.9108,                0.56895,                 1.3736,                0.80078,                 1.1617,                0.00901,                0.00901,                0.00901
                      7,                 1.3931,                0.88007,                 1.1591,                0.87791,                0.79938,                0.90842,                 0.5634,                 1.4636,                0.81927,                 1.2153,               0.008812,               0.008812,               0.008812
                      8,                 1.3818,                0.87846,                   1.16,                0.88495,                0.83095,                0.91334,                0.58375,                 1.3828,                0.82105,                  1.173,               0.008614,               0.008614,               0.008614
                      9,                  1.356,                0.86008,                 1.1504,                0.91885,                0.79321,                0.90872,                0.58381,                 1.3921,                0.78153,                  1.177,               0.008416,               0.008416,               0.008416
                     10,                 1.3863,                0.83986,                 1.1632,                0.89694,                0.84568,                0.91857,                0.57883,                 1.4154,                0.77243,                 1.1941,               0.008218,               0.008218,               0.008218
                     11,                  1.358,                0.83726,                 1.1512,                0.85101,                0.86728,                  0.918,                0.57968,                 1.4205,                0.76811,                 1.1708,                0.00802,                0.00802,                0.00802
                     12,                 1.3634,                0.83338,                 1.1474,                0.85794,                0.85494,                  0.914,                0.57992,                 1.4233,                0.79663,                 1.1565,               0.007822,               0.007822,               0.007822
                     13,                  1.335,                0.81449,                 1.1323,                0.86747,                 0.8642,                0.91681,                0.59618,                 1.3733,                 0.7626,                 1.1603,               0.007624,               0.007624,               0.007624
                     14,                 1.3435,                0.83068,                 1.1442,                0.90264,                0.84568,                0.92463,                0.58382,                 1.3761,                0.78631,                 1.1469,               0.007426,               0.007426,               0.007426
                     15,                 1.3161,                0.81196,                 1.1254,                0.90496,                0.83642,                0.91232,                0.57504,                 1.4212,                0.77887,                  1.188,               0.007228,               0.007228,               0.007228
                     16,                 1.3229,                0.78565,                  1.136,                 0.8931,                0.87671,                0.92346,                0.59117,                 1.3603,                0.75986,                 1.1567,                0.00703,                0.00703,                0.00703
                     17,                 1.3266,                0.79746,                 1.1247,                0.91376,                0.88889,                0.93122,                0.58235,                 1.4003,                0.73102,                 1.1711,               0.006832,               0.006832,               0.006832
                     18,                  1.306,                0.78107,                 1.1215,                0.88597,                0.84877,                0.93095,                0.60469,                 1.3604,                0.75847,                 1.1624,               0.006634,               0.006634,               0.006634
                     19,                 1.2849,                0.78562,                 1.1079,                0.91493,                0.86303,                0.93578,                0.60429,                 1.3787,                0.71304,                 1.1505,               0.006436,               0.006436,               0.006436
                     20,                  1.296,                0.78756,                 1.1059,                0.89462,                0.87037,                0.93261,                0.59879,                 1.3747,                0.73633,                 1.1644,               0.006238,               0.006238,               0.006238
                     21,                 1.2684,                 0.7648,                   1.11,                0.89779,                0.89468,                0.94881,                0.61435,                 1.3449,                0.70611,                 1.1554,                0.00604,                0.00604,                0.00604
                     22,                 1.2689,                  0.755,                 1.1062,                0.91865,                0.87131,                0.93783,                0.60106,                 1.3679,                0.70231,                 1.1542,               0.005842,               0.005842,               0.005842
                     23,                 1.2497,                0.71391,                 1.0875,                0.88225,                0.89506,                0.93711,                0.61155,                 1.3772,                0.68435,                 1.1499,               0.005644,               0.005644,               0.005644
                     24,                 1.2376,                0.73597,                 1.0869,                0.88695,                0.87037,                0.93007,                0.60698,                 1.3422,                0.71283,                 1.1322,               0.005446,               0.005446,               0.005446
                     25,                 1.2431,                0.72165,                 1.0836,                0.89585,                0.90123,                0.93728,                0.59666,                 1.3798,                0.66889,                 1.1721,               0.005248,               0.005248,               0.005248
                     26,                 1.2337,                0.71907,                 1.0893,                 0.9401,                0.87346,                0.94425,                0.61326,                  1.337,                0.66713,                 1.1453,                0.00505,                0.00505,                0.00505
                     27,                 1.2326,                0.74157,                 1.0873,                0.91023,                0.87625,                0.94166,                0.60022,                 1.3673,                0.68365,                 1.1522,               0.004852,               0.004852,               0.004852
