                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3153,                0.76663,                 1.1165,                0.94593,                0.91255,                0.96686,                0.66777,                 1.1782,                0.58653,                 1.0541,               0.070015,              0.0033317,              0.0033317
                      1,                 1.2883,                0.74639,                 1.0965,                0.94853,                0.91087,                0.97026,                0.67689,                  1.169,                0.60633,                 1.0457,               0.039883,              0.0065331,              0.0065331
                      2,                 1.3263,                0.80192,                 1.1163,                0.92213,                0.92205,                0.96249,                0.63114,                 1.2555,                0.66895,                 1.0881,              0.0096186,              0.0096024,              0.0096024
                      3,                 1.3683,                 0.8575,                 1.1361,                0.93303,                0.90055,                0.95877,                0.61912,                 1.2814,                0.69262,                 1.1123,               0.009406,               0.009406,               0.009406
                      4,                 1.3544,                 0.8592,                  1.127,                0.89517,                0.90494,                0.94666,                 0.6119,                 1.3011,                0.70965,                 1.1081,               0.009406,               0.009406,               0.009406
                      5,                 1.3707,                0.86897,                 1.1398,                0.94351,                0.88904,                0.96313,                0.62818,                 1.3068,                   0.68,                 1.1011,               0.009208,               0.009208,               0.009208
                      6,                 1.3555,                 0.8392,                 1.1257,                0.92728,                0.88403,                 0.9581,                0.61881,                 1.3073,                0.69363,                 1.1051,                0.00901,                0.00901,                0.00901
                      7,                 1.3516,                 0.8371,                 1.1224,                0.91009,                0.90494,                0.95214,                 0.6147,                 1.3104,                 0.6872,                  1.104,               0.008812,               0.008812,               0.008812
                      8,                 1.3539,                0.83234,                 1.1251,                0.91267,                0.89407,                0.95606,                0.60801,                 1.2967,                0.70248,                 1.1018,               0.008614,               0.008614,               0.008614
                      9,                 1.3561,                0.84039,                 1.1321,                0.91679,                0.90304,                0.95322,                0.61396,                 1.3002,                0.71289,                 1.1036,               0.008416,               0.008416,               0.008416
                     10,                 1.3438,                0.83136,                 1.1324,                0.90917,                0.91065,                 0.9525,                0.59876,                 1.3033,                0.71219,                 1.1154,               0.008218,               0.008218,               0.008218
                     11,                 1.3417,                0.80988,                 1.1266,                 0.9144,                0.91391,                0.95865,                0.61373,                 1.2913,                0.67353,                 1.1111,                0.00802,                0.00802,                0.00802
                     12,                 1.3166,                0.80997,                 1.1087,                 0.9098,                0.91255,                0.95701,                0.62242,                 1.2831,                0.67002,                 1.0993,               0.007822,               0.007822,               0.007822
                     13,                 1.3169,                 0.8059,                 1.1104,                0.92431,                0.90114,                0.95988,                0.61175,                 1.3101,                0.66004,                  1.119,               0.007624,               0.007624,               0.007624
                     14,                 1.3177,                0.78891,                 1.1101,                0.91592,                0.93194,                0.96542,                0.63347,                 1.2835,                 0.6442,                 1.1062,               0.007426,               0.007426,               0.007426
                     15,                 1.2955,                0.76707,                 1.1018,                0.89654,                0.92395,                0.96149,                0.62569,                 1.3042,                0.65596,                 1.1076,               0.007228,               0.007228,               0.007228
                     16,                 1.2822,                 0.7528,                  1.101,                0.90196,                0.94452,                0.96333,                0.63295,                 1.2666,                0.63917,                 1.0978,                0.00703,                0.00703,                0.00703
                     17,                 1.2706,                0.77811,                 1.0872,                0.89465,                0.92026,                0.96278,                0.62015,                 1.2755,                0.68631,                 1.0965,               0.006832,               0.006832,               0.006832
                     18,                 1.2745,                0.75309,                 1.0883,                 0.9156,                0.90752,                0.96303,                0.63735,                 1.2819,                0.66162,                 1.1038,               0.006634,               0.006634,               0.006634
                     19,                 1.2563,                0.74907,                 1.0812,                0.90695,                0.90684,                0.96462,                0.62639,                 1.2727,                0.64759,                 1.0991,               0.006436,               0.006436,               0.006436
                     20,                 1.2593,                0.73748,                 1.0789,                0.92126,                0.91194,                0.96814,                0.64088,                 1.2651,                0.62382,                 1.0907,               0.006238,               0.006238,               0.006238
                     21,                 1.2465,                0.72529,                 1.0694,                0.92597,                0.90366,                0.97367,                0.64759,                 1.2524,                0.60978,                 1.0827,                0.00604,                0.00604,                0.00604
                     22,                 1.2572,                0.73334,                 1.0782,                0.92526,                0.91783,                0.96746,                0.64841,                 1.2281,                0.61484,                 1.0859,               0.005842,               0.005842,               0.005842
                     23,                 1.2447,                0.73753,                   1.07,                0.91008,                0.92586,                0.96658,                0.64274,                 1.2503,                 0.6254,                 1.0883,               0.005644,               0.005644,               0.005644
                     24,                 1.2199,                0.71872,                  1.063,                0.91919,                0.90823,                0.96504,                0.64196,                 1.2704,                0.63255,                 1.0958,               0.005446,               0.005446,               0.005446
                     25,                 1.2262,                0.72672,                 1.0619,                0.91381,                0.92724,                0.96898,                0.65093,                 1.2642,                0.60938,                 1.0762,               0.005248,               0.005248,               0.005248
                     26,                 1.2143,                0.69188,                 1.0554,                 0.9193,                0.90684,                0.96459,                0.64686,                 1.2624,                0.60061,                 1.0862,                0.00505,                0.00505,                0.00505
                     27,                 1.2105,                0.67904,                 1.0588,                0.92456,                0.94677,                0.97025,                0.64829,                 1.2387,                0.58259,                  1.077,               0.004852,               0.004852,               0.004852
                     28,                 1.1942,                0.67213,                 1.0457,                0.91643,                0.93819,                0.96756,                0.64657,                 1.2565,                0.60198,                 1.0825,               0.004654,               0.004654,               0.004654
                     29,                 1.1931,                 0.6784,                 1.0403,                0.93273,                0.92966,                0.96861,                0.64547,                 1.2349,                0.58781,                 1.0735,               0.004456,               0.004456,               0.004456
                     30,                 1.1918,                0.69377,                 1.0373,                0.93217,                0.92586,                0.96989,                0.64489,                 1.2602,                0.58496,                 1.0861,               0.004258,               0.004258,               0.004258
                     31,                 1.1904,                0.66441,                 1.0432,                0.92773,                0.92736,                0.96708,                0.65306,                  1.243,                0.58172,                 1.0743,                0.00406,                0.00406,                0.00406
                     32,                 1.1684,                0.65438,                 1.0332,                0.93457,                0.92334,                0.97554,                0.65247,                  1.242,                0.58167,                 1.0873,               0.003862,               0.003862,               0.003862
                     33,                 1.1576,                0.66072,                 1.0318,                0.93747,                0.91214,                0.96803,                0.64696,                  1.259,                0.58023,                 1.0873,               0.003664,               0.003664,               0.003664
                     34,                 1.1592,                0.63641,                 1.0269,                0.90486,                0.94106,                0.97034,                0.65326,                  1.251,                0.57938,                 1.0781,               0.003466,               0.003466,               0.003466
                     35,                 1.1386,                0.62883,                  1.026,                0.93318,                0.92776,                0.97432,                0.65434,                 1.2347,                0.57006,                 1.0703,               0.003268,               0.003268,               0.003268
                     36,                 1.1522,                0.63269,                 1.0305,                0.92593,                0.93726,                0.97296,                0.65396,                 1.2542,                0.56001,                 1.0733,                0.00307,                0.00307,                0.00307
                     37,                 1.1387,                0.63923,                 1.0144,                 0.9374,                0.92015,                0.97201,                 0.6584,                 1.2512,                0.55792,                 1.0678,               0.002872,               0.002872,               0.002872
                     38,                 1.1195,                0.60142,                 1.0154,                0.93295,                0.92591,                0.97144,                0.65779,                 1.2447,                0.55467,                 1.0646,               0.002674,               0.002674,               0.002674
                     39,                 1.1227,                0.60692,                  1.016,                0.93193,                  0.937,                0.97728,                0.66567,                 1.2197,                0.54298,                  1.058,               0.002476,               0.002476,               0.002476
                     40,                 1.1154,                0.60712,                 1.0143,                0.94583,                0.92941,                0.97779,                0.66521,                 1.2267,                 0.5465,                 1.0635,               0.002278,               0.002278,               0.002278
                     41,                 1.1051,                0.61019,                 1.0085,                0.92513,                 0.9397,                 0.9755,                0.66467,                 1.2418,                0.54704,                 1.0679,                0.00208,                0.00208,                0.00208
                     42,                 1.1119,                 0.5994,                 1.0162,                0.94393,                0.93916,                 0.9796,                0.66749,                 1.2307,                0.54215,                 1.0582,               0.001882,               0.001882,               0.001882
                     43,                 1.1014,                0.59038,                 1.0078,                0.95662,                0.92015,                0.98176,                0.67015,                 1.2167,                0.53985,                 1.0573,               0.001684,               0.001684,               0.001684
                     44,                 1.0741,                0.57837,                0.99813,                0.95223,                0.94747,                 0.9815,                0.67247,                 1.2258,                0.53327,                 1.0569,               0.001486,               0.001486,               0.001486
                     45,                  1.072,                0.57743,                0.99602,                 0.9501,                0.92966,                0.98011,                0.67377,                 1.2243,                0.53221,                  1.061,               0.001288,               0.001288,               0.001288
                     46,                 1.0505,                0.56808,                 0.9911,                0.93293,                0.94297,                0.97957,                0.67483,                 1.2119,                0.53611,                 1.0552,                0.00109,                0.00109,                0.00109
                     47,                 1.0587,                 0.5636,                0.99086,                0.95371,                0.91825,                0.97511,                0.67212,                 1.2156,                0.54014,                 1.0567,               0.000892,               0.000892,               0.000892
