                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1309,                 3.4957,                 1.6177,                0.58589,                0.36111,                0.41158,                0.16794,                 1.8132,                 2.6991,                 1.4285,               0.070034,              0.0033295,              0.0033295
                      1,                 2.0392,                 2.3335,                 1.6135,                0.48686,                0.46667,                0.44819,                0.17905,                 1.7533,                 2.1606,                 1.4154,               0.039968,              0.0065969,              0.0065969
                      2,                 2.0309,                 2.2036,                  1.657,                0.62265,                    0.4,                0.46727,                0.19043,                 1.7631,                 2.3889,                 1.5024,              0.0098362,              0.0097983,              0.0097983
                      3,                 2.1223,                 2.2518,                 1.7396,                0.52546,                0.25556,                0.29667,                0.10722,                 2.0256,                 2.6682,                 1.8033,               0.009703,               0.009703,               0.009703
                      4,                  2.062,                 2.0329,                 1.6916,                0.66055,                0.43244,                 0.5057,                0.24447,                 1.7557,                 2.0726,                 1.4839,               0.009703,               0.009703,               0.009703
                      5,                 1.9865,                 1.8849,                 1.6385,                0.60672,                0.59444,                0.64363,                0.28223,                  1.748,                 2.0289,                 1.4702,               0.009604,               0.009604,               0.009604
                      6,                 1.9535,                 1.8233,                 1.6162,                0.74257,                0.47222,                0.61589,                0.27877,                 1.7316,                 2.0813,                  1.468,               0.009505,               0.009505,               0.009505
                      7,                 1.9284,                 1.7242,                 1.6081,                0.67457,                0.61111,                0.65683,                0.33323,                  1.567,                  1.881,                  1.332,               0.009406,               0.009406,               0.009406
                      8,                 1.9242,                 1.6954,                 1.6042,                0.73146,                0.59018,                0.65791,                0.30628,                 1.6534,                 1.8967,                 1.4826,               0.009307,               0.009307,               0.009307
                      9,                 1.8673,                 1.6631,                 1.5812,                0.72591,                0.61667,                0.70352,                0.34342,                  1.553,                 1.5859,                 1.3895,               0.009208,               0.009208,               0.009208
                     10,                 1.8166,                 1.5837,                 1.5359,                0.67442,                0.72778,                0.75433,                0.36583,                 1.5532,                 1.8256,                 1.3798,               0.009109,               0.009109,               0.009109
                     11,                 1.8059,                 1.5343,                  1.522,                0.76371,                0.75556,                0.77541,                0.38811,                 1.5632,                 1.5317,                 1.4111,                0.00901,                0.00901,                0.00901
                     12,                 1.8487,                 1.5359,                   1.54,                0.81549,                    0.6,                 0.7453,                0.35554,                 1.5976,                 2.0076,                 1.3604,               0.008911,               0.008911,               0.008911
                     13,                 1.7752,                 1.4442,                 1.4856,                0.75099,                0.68696,                0.75681,                0.39066,                 1.5263,                 1.6608,                 1.3514,               0.008812,               0.008812,               0.008812
                     14,                 1.7552,                 1.4368,                 1.4804,                0.79249,                0.65556,                0.75673,                0.38822,                 1.5498,                 1.4158,                 1.3547,               0.008713,               0.008713,               0.008713
                     15,                 1.7435,                 1.4187,                 1.4715,                 0.7849,                0.72983,                0.80488,                 0.4305,                 1.4876,                 1.5966,                 1.2932,               0.008614,               0.008614,               0.008614
                     16,                 1.7438,                 1.4161,                 1.4911,                0.80334,                0.72222,                0.78204,                0.41261,                 1.4527,                 1.9271,                 1.2815,               0.008515,               0.008515,               0.008515
                     17,                 1.7056,                 1.3617,                 1.4621,                0.85208,                0.72778,                0.80384,                0.43324,                 1.4468,                 1.4714,                 1.2749,               0.008416,               0.008416,               0.008416
                     18,                 1.6803,                  1.321,                 1.4248,                0.83109,                   0.75,                0.84713,                0.43948,                 1.4699,                  1.557,                 1.2758,               0.008317,               0.008317,               0.008317
                     19,                 1.6939,                 1.3006,                 1.4383,                0.83912,                0.69545,                0.82357,                0.44626,                 1.4124,                 1.3526,                 1.2624,               0.008218,               0.008218,               0.008218
                     20,                 1.6481,                 1.2671,                 1.4165,                0.76766,                0.76111,                0.80577,                 0.4696,                 1.4064,                 1.8218,                 1.2628,               0.008119,               0.008119,               0.008119
                     21,                 1.6531,                 1.2241,                 1.4153,                0.82848,                0.74444,                0.83731,                0.45969,                 1.4392,                 1.6331,                 1.2996,                0.00802,                0.00802,                0.00802
                     22,                  1.632,                 1.2428,                 1.3894,                0.82159,                0.81111,                0.86657,                0.47987,                 1.4119,                 1.5102,                 1.2683,               0.007921,               0.007921,               0.007921
                     23,                 1.6197,                  1.236,                 1.3849,                0.75474,                0.76931,                0.78824,                0.43004,                 1.4862,                 1.6859,                 1.3272,               0.007822,               0.007822,               0.007822
                     24,                 1.6291,                 1.2436,                 1.4045,                0.79072,                0.81111,                0.85963,                0.47624,                 1.3741,                 1.4922,                 1.2654,               0.007723,               0.007723,               0.007723
                     25,                  1.599,                 1.2175,                 1.3751,                0.84288,                0.81111,                0.88074,                0.49264,                 1.3896,                 1.2289,                  1.246,               0.007624,               0.007624,               0.007624
                     26,                 1.5883,                 1.1426,                 1.3681,                0.80013,                0.81111,                0.86291,                0.49303,                  1.377,                 1.5729,                 1.2457,               0.007525,               0.007525,               0.007525
                     27,                 1.5897,                 1.1897,                 1.3564,                0.79072,                0.82222,                0.87099,                0.50345,                 1.3439,                 1.4802,                 1.2163,               0.007426,               0.007426,               0.007426
                     28,                  1.558,                 1.1389,                 1.3417,                0.85142,                    0.8,                0.86631,                0.48763,                 1.3768,                 1.6847,                  1.249,               0.007327,               0.007327,               0.007327
                     29,                 1.5774,                 1.1566,                 1.3529,                0.88507,                0.81111,                0.89479,                0.54496,                 1.3086,                 1.2151,                 1.1883,               0.007228,               0.007228,               0.007228
                     30,                 1.5474,                 1.1477,                 1.3332,                0.82473,                0.75814,                0.84622,                0.47748,                 1.3818,                 1.4947,                 1.2343,               0.007129,               0.007129,               0.007129
