                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0862,                0.61467,                 1.1715,                0.98547,                0.96098,                 0.9768,                0.74263,                0.94877,                0.42944,                  1.123,               0.070018,              0.0033313,              0.0033313
                      1,                 1.1147,                0.61032,                  1.187,                0.98003,                0.95746,                0.97766,                0.72387,                0.98839,                0.47511,                 1.1372,               0.039886,              0.0065327,              0.0065327
                      2,                 1.1707,                0.63951,                 1.2105,                0.98577,                 0.9439,                0.98512,                 0.6932,                  1.089,                 0.4953,                 1.1859,              0.0096221,              0.0096021,              0.0096021
                      3,                 1.2214,                0.69011,                 1.2382,                0.97207,                0.95122,                0.98644,                0.68251,                  1.101,                0.49057,                 1.2027,               0.009406,               0.009406,               0.009406
                      4,                 1.2494,                 0.7203,                 1.2535,                0.96233,                0.93453,                0.97582,                 0.6581,                 1.2022,                0.51894,                 1.2705,               0.009406,               0.009406,               0.009406
                      5,                 1.2674,                0.71217,                 1.2679,                0.95718,                0.94146,                0.98368,                0.67776,                 1.1403,                0.50226,                 1.2451,               0.009208,               0.009208,               0.009208
                      6,                  1.261,                0.70946,                  1.255,                0.95569,                0.94878,                0.97988,                0.67742,                 1.1442,                0.51845,                  1.234,                0.00901,                0.00901,                0.00901
                      7,                 1.2361,                0.69377,                 1.2426,                0.96274,                0.94543,                0.98292,                0.67251,                  1.156,                0.51284,                 1.2449,               0.008812,               0.008812,               0.008812
                      8,                 1.2321,                 0.6849,                 1.2308,                0.96948,                0.92982,                0.97898,                0.65153,                 1.1597,                0.52251,                 1.2494,               0.008614,               0.008614,               0.008614
                      9,                 1.2467,                0.69445,                  1.241,                0.95555,                0.94371,                 0.9793,                0.68099,                 1.1415,                0.52255,                 1.2317,               0.008416,               0.008416,               0.008416
                     10,                 1.2291,                0.69105,                 1.2378,                0.96567,                0.96065,                0.98827,                0.67866,                 1.1601,                0.48988,                 1.2424,               0.008218,               0.008218,               0.008218
                     11,                 1.2151,                0.66901,                 1.2267,                0.97724,                0.94264,                0.98606,                0.68541,                 1.1326,                0.51007,                 1.2294,                0.00802,                0.00802,                0.00802
                     12,                 1.2087,                0.66623,                 1.2285,                0.96248,                0.96829,                0.98564,                0.69398,                 1.1458,                0.47608,                 1.2314,               0.007822,               0.007822,               0.007822
                     13,                 1.2093,                 0.6791,                 1.2305,                0.96098,                 0.9439,                0.98079,                0.69929,                 1.1256,                0.48763,                 1.2262,               0.007624,               0.007624,               0.007624
                     14,                 1.1972,                0.65415,                 1.2164,                0.97719,                0.94049,                0.98359,                0.68118,                 1.1281,                0.48897,                 1.2225,               0.007426,               0.007426,               0.007426
