                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1923,                0.63058,                 1.2171,                0.90969,                0.95284,                0.98019,                0.73259,                0.53198,                 7.2241,                0.62489,               0.070083,              0.0033241,              0.0033241
                      1,                 1.1974,                0.61938,                 1.2077,                0.89931,                0.96557,                0.96749,                 0.7037,                0.54529,                 8.0709,                0.63553,               0.040017,              0.0065915,              0.0065915
                      2,                 1.2722,                0.68481,                 1.2545,                0.88482,                0.88244,                0.95578,                0.64281,                0.65263,                  8.421,                0.71315,              0.0098853,              0.0097929,              0.0097929
                      3,                  1.363,                0.80472,                 1.3031,                0.97468,                0.94595,                0.98747,                 0.6234,                0.69254,                  1.453,                0.73915,               0.009703,               0.009703,               0.009703
                      4,                 1.3543,                0.77866,                 1.3111,                0.95156,                0.92915,                0.97622,                0.64965,                0.65148,                 3.0582,                0.69985,               0.009703,               0.009703,               0.009703
                      5,                 1.4046,                 0.7963,                 1.3191,                0.82688,                0.80682,                0.91665,                0.57633,                0.71271,                 21.488,                 0.7429,               0.009604,               0.009604,               0.009604
                      6,                 1.3917,                0.78902,                 1.3133,                0.90163,                0.92568,                0.97236,                0.65624,                 0.6485,                 4.5635,                0.70289,               0.009505,               0.009505,               0.009505
                      7,                 1.3843,                  0.785,                 1.3259,                0.95794,                0.95946,                0.99005,                0.65725,                0.65271,                 1.7083,                0.71154,               0.009406,               0.009406,               0.009406
                      8,                 1.3718,                0.77342,                 1.3118,                0.94733,                0.97217,                0.98786,                0.62774,                0.70076,                 2.1912,                0.74063,               0.009307,               0.009307,               0.009307
                      9,                  1.336,                0.74178,                 1.2859,                0.82371,                0.92568,                0.94677,                0.59892,                 0.7107,                 8.8916,                0.75754,               0.009208,               0.009208,               0.009208
                     10,                  1.373,                0.75327,                 1.3127,                0.93586,                0.94595,                0.96725,                0.61057,                0.72856,                 2.8249,                0.76967,               0.009109,               0.009109,               0.009109
                     11,                 1.3619,                0.75585,                 1.3092,                0.89877,                0.96622,                0.96392,                0.63523,                0.66787,                 4.2531,                0.71739,                0.00901,                0.00901,                0.00901
                     12,                 1.3513,                0.75597,                 1.3072,                0.88531,                 0.9527,                0.95485,                0.60722,                0.68612,                 5.6081,                0.74529,               0.008911,               0.008911,               0.008911
                     13,                 1.3161,                0.71577,                 1.2848,                 0.9475,                0.92568,                0.97712,                 0.6335,                0.66008,                 3.2528,                0.71256,               0.008812,               0.008812,               0.008812
                     14,                 1.3087,                0.72023,                 1.2737,                0.95508,                0.92568,                0.97824,                0.63999,                0.67432,                 1.2881,                0.73465,               0.008713,               0.008713,               0.008713
                     15,                 1.2886,                0.71817,                 1.2725,                0.91272,                0.91861,                0.96491,                0.60923,                0.74061,                 2.7615,                0.74888,               0.008614,               0.008614,               0.008614
                     16,                 1.3052,                0.69525,                 1.2771,                0.80087,                0.95111,                0.90475,                0.59549,                0.69188,                 10.161,                0.74178,               0.008515,               0.008515,               0.008515
                     17,                 1.2816,                0.71777,                 1.2564,                0.93926,                0.94033,                0.97708,                0.63707,                0.64416,                 3.8956,                0.70498,               0.008416,               0.008416,               0.008416
                     18,                 1.2501,                0.68094,                 1.2494,                0.76727,                0.93558,                0.90813,                0.59741,                0.66396,                 12.667,                 0.7131,               0.008317,               0.008317,               0.008317
                     19,                 1.2906,                0.70069,                 1.2636,                0.79191,                0.92572,                0.93318,                 0.6057,                 0.6819,                 10.895,                0.71901,               0.008218,               0.008218,               0.008218
                     20,                  1.255,                0.67584,                 1.2434,                0.87443,                0.97297,                0.96514,                0.62311,                0.70051,                 5.7968,                0.74206,               0.008119,               0.008119,               0.008119
                     21,                 1.2527,                0.67359,                 1.2488,                0.84441,                0.87162,                0.94271,                0.62591,                0.69564,                 9.8976,                0.72592,                0.00802,                0.00802,                0.00802
                     22,                  1.266,                0.68781,                  1.249,                0.94222,                0.93243,                0.97887,                0.62078,                0.68751,                 2.9509,                0.73198,               0.007921,               0.007921,               0.007921
                     23,                 1.2472,                 0.6782,                 1.2448,                 0.8048,                0.91931,                0.91125,                0.59875,                0.66828,                 10.803,                0.71576,               0.007822,               0.007822,               0.007822
                     24,                 1.2234,                0.65199,                 1.2294,                0.91692,                0.93243,                0.96505,                0.63004,                0.89643,                 3.6403,                0.92012,               0.007723,               0.007723,               0.007723
                     25,                 1.2319,                0.66563,                 1.2321,                0.86155,                0.91216,                0.94798,                0.61266,                0.70616,                 7.1503,                0.73789,               0.007624,               0.007624,               0.007624
                     26,                 1.2259,                0.67076,                 1.2306,                0.70055,                0.88514,                0.84843,                0.56023,                0.65793,                 18.936,                0.71295,               0.007525,               0.007525,               0.007525
