                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.903,                 3.0921,                 1.8009,                0.64584,                0.53747,                0.60366,                0.26983,                0.91372,                 13.265,                0.83095,               0.070098,              0.0033224,              0.0033224
                      1,                 1.7651,                 1.6806,                 1.5505,                0.76351,                0.63824,                 0.7246,                0.37582,                0.85795,                 1.3346,                0.78662,               0.039967,               0.006524,               0.006524
                      2,                 1.8196,                 1.6786,                 1.5725,                0.21975,                0.12403,                 0.0785,                0.02129,                 1.3628,                 2.9326,                 1.0812,              0.0097028,              0.0095935,              0.0095935
                      3,                 1.8934,                  1.706,                 1.6174,                 0.5166,                0.56331,                0.52865,                0.22914,                0.97502,                 32.669,                0.86209,               0.009406,               0.009406,               0.009406
                      4,                 1.8351,                  1.511,                 1.5774,                0.53981,                0.41085,                0.41131,                0.13801,                 1.1577,                 2.4743,                0.96836,               0.009406,               0.009406,               0.009406
                      5,                 1.8057,                 1.4162,                 1.5587,                0.83479,                0.73116,                0.78971,                0.38068,                0.89142,                 4.0518,                0.79478,               0.009208,               0.009208,               0.009208
                      6,                 1.7777,                 1.3357,                 1.5381,                0.73825,                0.59033,                0.64599,                0.30627,                0.90644,                  19.13,                0.82505,                0.00901,                0.00901,                0.00901
                      7,                 1.7393,                 1.2729,                 1.5079,                0.25786,                0.28424,                0.21565,                0.09852,                 1.0888,                 40.711,                0.96501,               0.008812,               0.008812,               0.008812
                      8,                 1.7178,                 1.2089,                 1.5007,                0.58428,                0.37726,                0.44722,                0.17667,                 1.0703,                  4.433,                0.87617,               0.008614,               0.008614,               0.008614
                      9,                  1.715,                 1.1716,                 1.4817,                0.86968,                0.75452,                0.85438,                0.44059,                0.83155,                 4.9262,                0.76297,               0.008416,               0.008416,               0.008416
                     10,                 1.6819,                 1.1304,                 1.4532,                0.69621,                0.76391,                0.75238,                0.39531,                0.81195,                 12.886,                0.73953,               0.008218,               0.008218,               0.008218
                     11,                 1.6389,                 1.0647,                 1.4404,                0.56624,                0.82429,                0.62051,                0.33251,                0.80183,                 21.279,                0.73833,                0.00802,                0.00802,                0.00802
                     12,                 1.6154,                 1.0469,                 1.4161,                0.76569,                0.80879,                0.83426,                0.45209,                0.81371,                 6.3565,                0.73705,               0.007822,               0.007822,               0.007822
                     13,                   1.62,                 1.0252,                 1.4195,                0.87451,                0.80103,                 0.8844,                0.47574,                0.80268,                 4.5579,                0.73236,               0.007624,               0.007624,               0.007624
                     14,                 1.6104,                0.98523,                 1.4211,                0.73403,                0.76307,                0.79091,                0.44909,                0.79753,                 10.037,                0.73109,               0.007426,               0.007426,               0.007426
                     15,                 1.5707,                0.95511,                 1.3894,                0.70508,                0.75711,                0.77484,                 0.4312,                0.80517,                 15.477,                0.72848,               0.007228,               0.007228,               0.007228
                     16,                 1.5493,                0.94819,                 1.3769,                0.83286,                0.77261,                0.86284,                0.47104,                0.81799,                 9.1077,                0.74254,                0.00703,                0.00703,                0.00703
                     17,                 1.5459,                0.94816,                 1.3759,                0.66957,                0.80111,                0.73598,                0.41444,                0.81083,                 18.157,                0.73031,               0.006832,               0.006832,               0.006832
                     18,                  1.551,                0.89889,                 1.3699,                0.63079,                0.79845,                0.71597,                0.39692,                0.80666,                 17.666,                  0.734,               0.006634,               0.006634,               0.006634
                     19,                 1.5148,                 0.8947,                 1.3452,                0.82069,                0.81604,                0.87567,                 0.4722,                0.79597,                 5.8445,                0.72731,               0.006436,               0.006436,               0.006436
                     20,                 1.5068,                0.86178,                 1.3475,                0.78484,                0.82948,                0.83195,                0.47835,                0.75898,                 8.2824,                0.70521,               0.006238,               0.006238,               0.006238
                     21,                  1.483,                0.84628,                 1.3291,                0.65462,                0.87667,                0.77218,                0.44499,                0.76457,                 16.034,                0.70542,                0.00604,                0.00604,                0.00604
                     22,                 1.4668,                0.83294,                 1.3252,                0.69383,                0.82429,                0.78467,                0.43936,                0.78248,                 13.771,                0.71827,               0.005842,               0.005842,               0.005842
                     23,                 1.4466,                0.82336,                 1.3209,                 0.7425,                0.83979,                0.81805,                0.47364,                 0.7528,                 13.651,                0.70891,               0.005644,               0.005644,               0.005644
                     24,                 1.4241,                0.78729,                 1.3066,                0.79886,                0.81077,                0.84771,                 0.4826,                0.78082,                 8.3652,                0.71837,               0.005446,               0.005446,               0.005446
                     25,                 1.4205,                0.78532,                 1.2944,                0.65119,                0.85867,                0.75351,                0.43778,                0.75916,                  16.76,                0.70587,               0.005248,               0.005248,               0.005248
                     26,                  1.416,                0.79046,                 1.2906,                0.68686,                0.84449,                0.78567,                0.45873,                0.76702,                 14.519,                0.70931,                0.00505,                0.00505,                0.00505
                     27,                 1.4114,                0.77202,                 1.2847,                0.65829,                0.86118,                0.74795,                0.43821,                0.75875,                  16.91,                0.70325,               0.004852,               0.004852,               0.004852
                     28,                 1.4157,                0.76366,                 1.2994,                0.69081,                0.87339,                0.77923,                 0.4519,                0.74434,                 18.331,                0.69441,               0.004654,               0.004654,               0.004654
                     29,                 1.3843,                0.74515,                 1.2612,                0.71632,                0.87339,                0.83391,                0.49684,                0.74655,                 12.461,                0.68971,               0.004456,               0.004456,               0.004456
                     30,                 1.3881,                0.74405,                 1.2776,                0.59094,                0.87724,                0.67144,                 0.4066,                0.73462,                 25.115,                0.68813,               0.004258,               0.004258,               0.004258
