                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7307,                 2.6199,                 1.6918,                0.74328,                0.67334,                0.72829,                0.36674,                0.81375,                 1.2016,                0.77876,               0.070012,               0.003332,               0.003332
                      1,                 1.5747,                 1.5033,                 1.3841,                0.80333,                0.68605,                0.76944,                0.39554,                0.86329,                0.83416,                 0.7764,                0.03988,              0.0065333,              0.0065333
                      2,                 1.6396,                  1.624,                  1.441,                0.77337,                0.65891,                0.74634,                0.36568,                0.89562,                0.99026,                 0.8029,              0.0096164,              0.0096027,              0.0096027
                      3,                 1.6991,                 1.6547,                 1.4602,                0.85544,                0.69251,                0.79484,                0.38991,                0.88559,                0.77627,                0.79415,               0.009406,               0.009406,               0.009406
                      4,                 1.6714,                 1.5533,                 1.4392,                 0.7905,                0.69224,                0.79884,                0.39466,                0.86241,                 0.8276,                0.77297,               0.009406,               0.009406,               0.009406
                      5,                 1.6633,                 1.4469,                 1.4521,                0.81655,                0.71309,                0.79488,                0.39793,                 0.8333,                0.76304,                 0.7595,               0.009208,               0.009208,               0.009208
                      6,                 1.5932,                  1.349,                 1.3969,                0.81609,                0.75969,                0.80239,                0.40698,                0.85846,                0.89402,                 0.7613,                0.00901,                0.00901,                0.00901
                      7,                 1.5824,                  1.284,                 1.3688,                0.89286,                0.76486,                0.85474,                0.42826,                0.86054,                0.76601,                0.78052,               0.008812,               0.008812,               0.008812
                      8,                 1.5468,                 1.2244,                 1.3481,                0.82465,                0.81395,                0.86371,                0.47105,                0.80589,                0.71802,                0.73145,               0.008614,               0.008614,               0.008614
                      9,                 1.5196,                 1.1505,                 1.3304,                0.87023,                0.76243,                 0.8637,                0.45805,                0.80954,                0.65215,                0.73429,               0.008416,               0.008416,               0.008416
                     10,                 1.5256,                  1.162,                 1.3361,                0.87275,                0.81137,                0.87102,                 0.4849,                0.79407,                0.76445,                0.73264,               0.008218,               0.008218,               0.008218
                     11,                 1.4819,                 1.1227,                 1.3075,                0.82809,                0.82148,                 0.8365,                0.44289,                0.80384,                 1.7459,                0.73103,                0.00802,                0.00802,                0.00802
