                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1162,                0.56034,                 1.1133,                0.95017,                0.92857,                0.96489,                0.63682,                 1.3614,                0.54011,                 1.3076,               0.070009,              0.0033323,              0.0033323
                      1,                 1.1503,                0.58163,                 1.1339,                0.95176,                0.93734,                0.96645,                0.61999,                 1.3961,                0.56247,                 1.3228,               0.039943,              0.0065996,              0.0065996
                      2,                  1.196,                 0.6286,                 1.1468,                0.93719,                0.89905,                0.95201,                0.59103,                 1.4576,                 0.6546,                 1.3561,              0.0098114,               0.009801,               0.009801
                      3,                 1.2921,                0.72475,                 1.2016,                  0.939,                 0.9038,                0.94823,                0.57702,                 1.4633,                0.66977,                 1.3542,               0.009703,               0.009703,               0.009703
                      4,                 1.3165,                0.74204,                 1.2206,                0.93562,                0.89756,                 0.9519,                0.57936,                  1.463,                0.68541,                 1.3549,               0.009703,               0.009703,               0.009703
                      5,                 1.3073,                0.73635,                 1.2159,                0.92437,                0.89998,                0.94796,                0.58007,                 1.4511,                0.67992,                 1.3351,               0.009604,               0.009604,               0.009604
                      6,                 1.3371,                0.75705,                 1.2247,                0.94414,                0.90328,                 0.9517,                0.59059,                 1.4419,                 0.6601,                 1.3371,               0.009505,               0.009505,               0.009505
                      7,                 1.3215,                0.75131,                 1.2181,                0.93061,                0.90855,                 0.9527,                 0.5779,                 1.4659,                0.65274,                 1.3586,               0.009406,               0.009406,               0.009406
                      8,                 1.3151,                0.74094,                 1.2152,                0.93571,                0.88242,                0.94628,                0.58392,                 1.4631,                0.65531,                 1.3546,               0.009307,               0.009307,               0.009307
                      9,                 1.3124,                0.73076,                 1.2105,                0.94413,                0.88361,                0.94274,                0.58253,                 1.4498,                 0.6948,                 1.3466,               0.009208,               0.009208,               0.009208
                     10,                 1.3126,                0.75158,                 1.2118,                0.95003,                0.90024,                0.95324,                0.58583,                 1.4627,                 0.6406,                 1.3689,               0.009109,               0.009109,               0.009109
                     11,                 1.3199,                0.73675,                 1.2236,                0.94548,                0.90617,                0.94784,                0.59049,                 1.4331,                 0.6588,                 1.3439,                0.00901,                0.00901,                0.00901
                     12,                 1.3217,                0.74075,                 1.2175,                0.93344,                0.90736,                0.95197,                0.58601,                 1.4402,                0.64402,                 1.3413,               0.008911,               0.008911,               0.008911
                     13,                 1.2992,                0.72473,                 1.2049,                0.93644,                0.90988,                0.94642,                0.58751,                 1.4346,                0.65989,                 1.3354,               0.008812,               0.008812,               0.008812
                     14,                  1.306,                0.73643,                  1.216,                0.94306,                 0.9038,                0.95314,                 0.6059,                 1.4056,                0.62265,                 1.3152,               0.008713,               0.008713,               0.008713
                     15,                 1.3036,                0.71523,                 1.2165,                0.93313,                0.91924,                0.95522,                0.59088,                 1.4134,                0.64526,                 1.3216,               0.008614,               0.008614,               0.008614
                     16,                 1.2983,                0.72144,                 1.2095,                   0.94,                0.90974,                0.95059,                0.59807,                 1.4203,                0.64407,                 1.3217,               0.008515,               0.008515,               0.008515
                     17,                  1.297,                0.72179,                 1.2104,                0.95356,                0.90222,                0.95773,                0.60823,                 1.4004,                0.60535,                 1.3123,               0.008416,               0.008416,               0.008416
