                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6481,                 2.3563,                 1.4982,                0.76057,                 0.7703,                0.81715,                0.44843,                 1.5039,                 1.1758,                 1.3978,               0.070053,              0.0033274,              0.0033274
                      1,                 1.5787,                 1.3765,                 1.3602,                0.77557,                0.73907,                 0.8218,                  0.447,                 1.4966,                 1.2191,                 1.3525,                0.04002,              0.0066278,              0.0066278
                      2,                 1.6812,                 1.4485,                 1.4177,                0.65419,                 0.5802,                0.63163,                0.33759,                 1.6155,                 1.6088,                 1.4924,              0.0099543,              0.0098951,              0.0098951
                      3,                  1.737,                 1.4529,                 1.4644,                0.65899,                0.58931,                0.65358,                0.30847,                 1.9228,                 1.6239,                  1.654,              0.0098515,              0.0098515,              0.0098515
                      4,                  1.671,                 1.3054,                 1.4235,                 0.7537,                0.67261,                0.74157,                0.39775,                 1.6026,                 1.3152,                 1.4569,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6203,                 1.2343,                 1.4087,                0.85252,                0.78984,                0.87364,                0.49064,                 1.5455,                0.99935,                 1.4045,               0.009802,               0.009802,               0.009802
                      6,                  1.562,                 1.1363,                 1.3534,                0.80369,                0.84309,                0.87984,                0.51372,                  1.401,                0.88865,                 1.3328,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5342,                 1.0932,                 1.3432,                0.83476,                0.85149,                0.87978,                0.50666,                 1.4939,                0.92224,                 1.3745,               0.009703,               0.009703,               0.009703
                      8,                   1.48,                 1.0195,                 1.3124,                0.86612,                0.84158,                0.91249,                0.55482,                 1.3772,                0.84617,                 1.3145,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4948,                 1.0284,                 1.3122,                0.84074,                0.84356,                0.88964,                0.52384,                 1.4153,                0.90096,                 1.3573,               0.009604,               0.009604,               0.009604
